"MOV","#imm,Rn","1110nnnniiiiiiii "
"MOV.W","@(disp,PC),Rn","1001nnnndddddddd "
"MOV.L","@(disp,PC),Rn","1101nnnndddddddd "
"MOV","Rm,Rn","0110nnnnmmmm0011 "
"MOV.B","Rm,@Rn","0010nnnnmmmm0000 "
"MOV.W","Rm,@Rn","0010nnnnmmmm0001 "
"MOV.L","Rm,@Rn","0010nnnnmmmm0010 "
"MOV.B","@Rm,Rn","0110nnnnmmmm0000 "
"MOV.W","@Rm,Rn","0110nnnnmmmm0001 "
"MOV.L","@Rm,Rn","0110nnnnmmmm0010 "
"MOV.B","Rm,@–Rn","0010nnnnmmmm0100 "
"MOV.W","Rm,@–Rn","0010nnnnmmmm0101 "
"MOV.L","Rm,@–Rn","0010nnnnmmmm0110 "
"MOV.B","@Rm+,Rn","0110nnnnmmmm0100 "
"MOV.W","@Rm+,Rn","0110nnnnmmmm0101 "
"MOV.L","@Rm+,Rn","0110nnnnmmmm0110 "
"MOV.B","R0,@(disp,Rn)","10000000nnnndddd "
"MOV.W","R0,@(disp,Rn)","10000001nnnndddd "
"MOV.L","Rm,@(disp,Rn)","0001nnnnmmmmdddd "
"MOV.B","@(disp,Rm),R0","10000100mmmmdddd "
"MOV.W","@(disp,Rm),R0","10000101mmmmdddd "
"MOV.L","@(disp,Rm),Rn","0101nnnnmmmmdddd "
"MOV.B","Rm,@(R0,Rn)","0000nnnnmmmm0100 "
"MOV.W","Rm,@(R0,Rn)","0000nnnnmmmm0101"
"MOV.L","Rm,@(R0,Rn)","0000nnnnmmmm0110 "
"MOV.B","@(R0,Rm),Rn","0000nnnnmmmm1100 "
"MOV.W","@(R0,Rm),Rn","0000nnnnmmmm1101 "
"MOV.L","@(R0,Rm),Rn","0000nnnnmmmm1110 "
"MOV.B","R0,@(disp,GBR)","11000000dddddddd "
"MOV.W","R0,@(disp,GBR)","11000001dddddddd "
"MOV.L","R0,@(disp,GBR)","11000010dddddddd "
"MOV.B","@(disp,GBR),R0","11000100dddddddd "
"MOV.W","@(disp,GBR),R0","11000101dddddddd "
"MOV.L","@(disp,GBR),R0","11000110dddddddd "
"MOVA","@(disp,PC),R0","11000111dddddddd "
"MOVT","Rn","0000nnnn00101001 "
"SWAP.B","Rm,Rn","0110nnnnmmmm1000 "
"SWAP.W","Rm,Rn","0110nnnnmmmm1001 "
